bamboribu1907,Jalgaon-dharangaon-GP-bamboribu
magalwadi1914,Jalgaon-Raver-GP-magalwadi
morgaonbu1914,Jalgaon-Raver-GP-morgaonbu
morgaonkh1914,Jalgaon-Raver-GP-morgaonkh
munjalwadi1914,Jalgaon-Raver-GP-munjalwadi
ramjipur1914,Jalgaon-Raver-GP-ramjipur
rasalpur1914,Jalgaon-Raver-GP-rasalpur
rangaon1914,Jalgaon-Raver-GP-rangaon
Raypur1914,Jalgaon-Raver-GP-Raypur
rebhota1914,Jalgaon-Raver-GP-rebhota
Rozoda1914,Jalgaon-Raver-GP-Rozoda
Lohara1914,Jalgaon-Raver-GP-Lohara
wadgaon1914,Jalgaon-Raver-GP-wadgaon
Waghod1914,Jalgaon-Raver-GP-Waghod
waghadi1914,Jalgaon-Raver-GP-waghadi
waghodabu1914,Jalgaon-Raver-GP-waghodabu
waghodakh1914,Jalgaon-Raver-GP-waghodakh
wivarebu1914,Jalgaon-Raver-GP-wivarebu
wivarekh1914,Jalgaon-Raver-GP-wivarekh
witwa1914,Jalgaon-Raver-GP-witwa
shingadi1914,Jalgaon-Raver-GP-shingadi
sakhedbu1914,Jalgaon-Raver-GP-sakhedbu
sawkhedakh1914,Jalgaon-Raver-GP-sawkhedakh
sunoda1914,Jalgaon-Raver-GP-sunoda
singat1914,Jalgaon-Raver-GP-singat
sahsraling1914,Jalgaon-Raver-GP-sahsraling 
sudgaon1914,Jalgaon-Raver-GP-sudgaon
shindkheda1914,Jalgaon-Raver-GP-shindkheda
sulwadi1914,Jalgaon-Raver-GP-sulwadi
