aajani.kh2401,LATUR-AHEMADPUR-AAJANI (KH)
harijawalga2407,LATUR-NILANGA-HARIJAWALGA
hasori.bk2407,LATUR-NILANGA-HASORI (BK)
hasori.kh2407,LATUR-NILANGA-HASORI KH.
hattarga.h2407,LATUR-NILANGA-HATTARGA (H)
hosur2407,LATUR-NILANGA-HOSUR
jajnoor2407,LATUR-NILANGA-JAJNOOR
jamga2407,LATUR-NILANGA-JAMGA
jau2407,LATUR-NILANGA-JAU
jewari2407,LATUR-NILANGA-JEWARI
kalandi2407,LATUR-NILANGA-KALANDI
kalmugali2407,LATUR-NILANGA-KALMUGALI
kasar.balkunda2407,LATUR-NILANGA-KASAR BALKUNDA
kasarshirsi2407,LATUR-NILANGA-KASARSHIRSI
katejawalga2407,LATUR-NILANGA-KATEJAWALGA
kelgaon2407,LATUR-NILANGA-KELGAON
khadk.umarga2407,LATUR-NILANGA-KHADK UMARGA
kokalgaon2407,LATUR-NILANGA-KOKALGAON
korali2407,LATUR-NILANGA-KORALI
lambota2407,LATUR-NILANGA-LAMBOTA
limbala2407,LATUR-NILANGA-LIMBALA
madansuri2407,LATUR-NILANGA-MADANSURI
makni2407,LATUR-NILANGA-MAKNI
malegaon.jewari2407,LATUR-NILANGA-MALEGAON JEWARI
malegaon.kalyani2407,LATUR-NILANGA-MALEGAON KALYANI
mamdapur2407,LATUR-NILANGA-MAMDAPUR
manejawalga2407,LATUR-NILANGA-MANEJAWALGA
mannathpur2407,LATUR-NILANGA-MANNATHPUR
masalga2407,LATUR-NILANGA-MASALGA
mirganhalli2407,LATUR-NILANGA-MIRGANHALLI
mudgad.ekoji2407,LATUR-NILANGA-MUDGAD EKOJI
mugaon2407,LATUR-NILANGA-MUGAON
nadihattarga2407,LATUR-NILANGA-NADIHATTARGA
nadiwadi2407,LATUR-NILANGA-NADIWADI
nanand2407,LATUR-NILANGA-NANAND
nelwad2407,LATUR-NILANGA-NELWAD
nitur2407,LATUR-NILANGA-NITUR
panchincholi2407,LATUR-NILANGA-PANCHINCHOLI
pirupatelwadi2407,LATUR-NILANGA-PIRUPATELWADI
ramlingmudgad2407,LATUR-NILANGA-RAMLINGMUDGAD
ramtirth2407,LATUR-NILANGA-RAMTIRTH
rathoda2407,LATUR-NILANGA-RATHODA
sangavi.j2407,LATUR-NILANGA-SANGAVI (J)
sarwadi2407,LATUR-NILANGA-SARWADI
sawari2407,LATUR-NILANGA-SAWARI
shedol2407,LATUR-NILANGA-SHEDOL
shelgi2407,LATUR-NILANGA-SHELGI
shend2407,LATUR-NILANGA-SHEND
shindijawalga2407,LATUR-NILANGA-SHINDIJAWALGA
shiradhon2407,LATUR-NILANGA-SHIRADHON
shirol2407,LATUR-NILANGA-SHIROL
shirsihangarga2407,LATUR-NILANGA-SHIRSIHANGARGA
shiur2407,LATUR-NILANGA-SHIUR
shivanikotal2407,LATUR-NILANGA-SHIVANIKOTAL
sindhkhed2407,LATUR-NILANGA-SINDHKHED
singanal2407,LATUR-NILANGA-SINGANAL
sonakhed2407,LATUR-NILANGA-SONAKHED
tadmugali2407,LATUR-NILANGA-TADMUGALI
tagarkheda2407,LATUR-NILANGA-TAGARKHEDA
tajpur2407,LATUR-NILANGA-TAJPUR
takali2407,LATUR-NILANGA-TAKALI
talikhed2407,LATUR-NILANGA-TALIKHED
tambala2407,LATUR-NILANGA-TAMBALA
tambarwadi2407,LATUR-NILANGA-TAMBARWADI
tupadi2407,LATUR-NILANGA-TUPADI
umarga.h2407,LATUR-NILANGA-UMARGA (H)
usturi2407,LATUR-NILANGA-USTURI
wadgaon2407,LATUR-NILANGA-WADGAON
wadikasasirsi2407,LATUR-NILANGA-WADIKASASIRSI
wadishedol2407,LATUR-NILANGA-WADISHEDOL
waksa2407,LATUR-NILANGA-WAKSA
walsangavi2407,LATUR-NILANGA-WALSANGAVI
wanjarwada2407,LATUR-NILANGA-WANJARWADA
yelnoor2407,LATUR-NILANGA-YELNOOR
zari2407,LATUR-NILANGA-ZARI
aanandwadi2408,LATUR-RENAPUR-AANANDWADI
aandalgaon2408,LATUR-RENAPUR-AANDALGAON
aarajkheda2408,LATUR-RENAPUR-AARAJKHEDA
aasrachiwadi2408,LATUR-RENAPUR-AASRACHIWADI
bawachi2408,LATUR-RENAPUR-BAWACHI
bhandarwadi2408,LATUR-RENAPUR-BHANDARWADI
bhokramba2408,LATUR-RENAPUR-BHOKRAMBA
bitargaon2408,LATUR-RENAPUR-BITARGAON
chadgaon2408,LATUR-RENAPUR-CHADGAON
darjiborgaon2408,LATUR-RENAPUR-DARJIBORGAON
dawangaon2408,LATUR-RENAPUR-DAWANGAON
dhaveli2408,LATUR-RENAPUR-DHAVELI
digol.deshmukh2408,LATUR-RENAPUR-DIGOL DESHMUKH
divegaon2408,LATUR-RENAPUR-DIVEGAON
faradpur2408,LATUR-RENAPUR-FARADPUR
fawadewadi2408,LATUR-RENAPUR-FAWADEWADI
garsuli2408,LATUR-RENAPUR-GARSULI
gavhan2408,LATUR-RENAPUR-GAVHAN
ghansargaon2408,LATUR-RENAPUR-GHANSARGAON
gothala2408,LATUR-RENAPUR-GOTHALA
harwadi2408,LATUR-RENAPUR-HARWADI
indarthana2408,LATUR-RENAPUR-INDARTHANA
itti.na2408,LATUR-RENAPUR-ITTI (NA)
jawalga2408,LATUR-RENAPUR-JAWALGA
kamkheda2408,LATUR-RENAPUR-KAMKHEDA
karepur2408,LATUR-RENAPUR-KAREPUR
khalngri2408,LATUR-RENAPUR-KHALNGRI
khanapur2408,LATUR-RENAPUR-KHANAPUR
kharola2408,LATUR-RENAPUR-KHAROLA
kokalgaon2408,LATUR-RENAPUR-KOKALGAON
koshtgaon2408,LATUR-RENAPUR-KOSHTGAON
kumbhargaon2408,LATUR-RENAPUR-KUMBHARGAON
kumbhari2408,LATUR-RENAPUR-KUMBHARI
lakhamapur2408,LATUR-RENAPUR-LAKHAMAPUR
makegaon2408,LATUR-RENAPUR-MAKEGAON
manusmarwadi2408,LATUR-RENAPUR-MANUSMARWADI
mohagaon2408,LATUR-RENAPUR-MOHAGAON
morwad2408,LATUR-RENAPUR-MORWAD
motegaon2408,LATUR-RENAPUR-MOTEGAON
murdhav2408,LATUR-RENAPUR-MURDHAV
musalewadi2408,LATUR-RENAPUR-MUSALEWADI
narwatwadi2408,LATUR-RENAPUR-NARWATWADI
niwada2408,LATUR-RENAPUR-NIWADA
palshi2408,LATUR-RENAPUR-PALSHI
pangaon2408,LATUR-RENAPUR-PANGAON
patharwadi2408,LATUR-RENAPUR-PATHARWADI
poharegaon2408,LATUR-RENAPUR-POHAREGAON
ramwadi2408,LATUR-RENAPUR-RAMWADI
ramwadi.kh2408,LATUR-RENAPUR-RAMWADI (KH)
renapur2408,LATUR-RENAPUR-RENAPUR
samsapur2408,LATUR-RENAPUR-SAMSAPUR
sangwi2408,LATUR-RENAPUR-SANGWI
sarola2408,LATUR-RENAPUR-SAROLA
sayyadpur2408,LATUR-RENAPUR-SAYYADPUR
selu.kh2408,LATUR-RENAPUR-SELU (KH)
shera2408,LATUR-RENAPUR-SHERA
sindhagaon2408,LATUR-RENAPUR-SINDHAGAON
sumthana2408,LATUR-RENAPUR-SUMTHANA
takalgaon2408,LATUR-RENAPUR-TAKALGAON
talni2408,LATUR-RENAPUR-TALNI
tattapur2408,LATUR-RENAPUR-TATTAPUR
vhati2408,LATUR-RENAPUR-VHATI
wagdari2408,LATUR-RENAPUR-WAGDARI
wala2408,LATUR-RENAPUR-WALA
wanjarwadi2408,LATUR-RENAPUR-WANJARWADI
yashawantwadi2408,LATUR-RENAPUR-YASHAWANTWADI
aanandwadi2409,LATUR-SHIRUR ANANTPAL-AANANDWADI
aari2409,LATUR-SHIRUR ANANTPAL-AARI
ajani.bk2409,LATUR-SHIRUR ANANTPAL-AJANI (BK)
ankulga.sayyad2409,LATUR-SHIRUR ANANTPAL-ANKULGA (SAYYAD)
ankulgarani2409,LATUR-SHIRUR ANANTPAL-ANKULGARANI
bakli2409,LATUR-SHIRUR ANANTPAL-BAKLI
bevanal2409,LATUR-SHIRUR ANANTPAL-BEVANAL
bhingoli2409,LATUR-SHIRUR ANANTPAL-BHINGOLI
bibaral2409,LATUR-SHIRUR ANANTPAL-BIBARAL
bolegaon.bk2409,LATUR-SHIRUR ANANTPAL-BOLEGAON (BK)
chambharga2409,LATUR-SHIRUR ANANTPAL-CHAMBHARGA
daithana2409,LATUR-SHIRUR ANANTPAL-DAITHANA
dhamangaon2409,LATUR-SHIRUR ANANTPAL-DHAMANGAON
digol2409,LATUR-SHIRUR ANANTPAL-DIGOL
dongargaon.bori2409,LATUR-SHIRUR ANANTPAL-DONGARGAON (BORI)
ganeshwadi2409,LATUR-SHIRUR ANANTPAL-GANESHWADI
halki2409,LATUR-SHIRUR ANANTPAL-HALKI
hanmantwadi2409,LATUR-SHIRUR ANANTPAL-HANMANTWADI
hippalgaon2409,LATUR-SHIRUR ANANTPAL-HIPPALGAON
hisamabad2409,LATUR-SHIRUR ANANTPAL-HISAMABAD
honmal2409,LATUR-SHIRUR ANANTPAL-HONMAL
jogala2409,LATUR-SHIRUR ANANTPAL-JOGALA
kalamgaon2409,LATUR-SHIRUR ANANTPAL-KALAMGAON
kambalga2409,LATUR-SHIRUR ANANTPAL-KAMBALGA
kanegaon2409,LATUR-SHIRUR ANANTPAL-KANEGAON
karewadi2409,LATUR-SHIRUR ANANTPAL-KAREWADI
lakkad.jawalga2409,LATUR-SHIRUR ANANTPAL-LAKKAD JAWALGA
nagewadi2409,LATUR-SHIRUR ANANTPAL-NAGEWADI
rapka2409,LATUR-SHIRUR ANANTPAL-RAPKA
sakol2409,LATUR-SHIRUR ANANTPAL-SAKOL
sangavighugi2409,LATUR-SHIRUR ANANTPAL-SANGAVIGHUGI
shend2409,LATUR-SHIRUR ANANTPAL-SHEND
shiruranantpal2409,LATUR-SHIRUR ANANTPAL-SHIRURANANTPAL
shivpur2409,LATUR-SHIRUR ANANTPAL-SHIVPUR
sumthana2409,LATUR-SHIRUR ANANTPAL-SUMTHANA
talegaon.de2409,LATUR-SHIRUR ANANTPAL-TALEGAON (DE)
talegaonbori2409,LATUR-SHIRUR ANANTPAL-TALEGAONBORI
theregaon2409,LATUR-SHIRUR ANANTPAL-THEREGAON
tiparal2409,LATUR-SHIRUR ANANTPAL-TIPARAL
turukwadi2409,LATUR-SHIRUR ANANTPAL-TURUKWADI
umardara2409,LATUR-SHIRUR ANANTPAL-UMARDARA
wanjarkheda2409,LATUR-SHIRUR ANANTPAL-WANJARKHEDA
yerol2409,LATUR-SHIRUR ANANTPAL-YEROL (PANDARWADI)
aadolwadi2410,LATUR-UDGIR-AADOLWADI
aarsnal2410,LATUR-UDGIR-AARSNAL
awalkonda2410,LATUR-UDGIR-AWALKONDA
bamani2410,LATUR-UDGIR-BAMANI
banshelki2410,LATUR-UDGIR-BANSHELKI
belsakarga2410,LATUR-UDGIR-BELSAKARGA
bhakaskheda2410,LATUR-UDGIR-BHAKASKHEDA
borgaon.bk2410,LATUR-UDGIR-BORGAON (BK)
chandegaon2410,LATUR-UDGIR-CHANDEGAON
chighali2410,LATUR-UDGIR-CHIGHALI
chimachiwadi2410,LATUR-UDGIR-CHIMACHIWADI
chondi2410,LATUR-UDGIR-CHONDI
dangewadi2410,LATUR-UDGIR-DANGEWADI
daul2410,LATUR-UDGIR-DAUL
dawangaon2410,LATUR-UDGIR-DAWANGAON
deulwadi2410,LATUR-UDGIR-DEULWADI
dewarjan2410,LATUR-UDGIR-DEWARJAN
dhadaknal2410,LATUR-UDGIR-DHADAKNAL
dhondihipparga2410,LATUR-UDGIR-DHONDIHIPPARGA
digras2410,LATUR-UDGIR-DIGRAS
dongarshelki2410,LATUR-UDGIR-DONGARSHELKI
ekurga.road2410,LATUR-UDGIR-EKURGA ROAD
enaki2410,LATUR-UDGIR-ENAKI
gangapur2410,LATUR-UDGIR-GANGAPUR
gudsur2410,LATUR-UDGIR-GUDSUR
gurdhal2410,LATUR-UDGIR-GURDHAL
haibatpur2410,LATUR-UDGIR-HAIBATPUR
haknakwadi2410,LATUR-UDGIR-HAKNAKWADI
halli2410,LATUR-UDGIR-HALLI
handergulli2410,LATUR-UDGIR-HANDERGULLI
hangarga.kh2410,LATUR-UDGIR-HANGARGA (KH)
her2410,LATUR-UDGIR-HER
hipparga.da2410,LATUR-UDGIR-HIPPARGA (DA)
honihipparga2410,LATUR-UDGIR-HONIHIPPARGA
islampur2410,LATUR-UDGIR-ISLAMPUR
jaknal2410,LATUR-UDGIR-JAKNAL
janapur2410,LATUR-UDGIR-JANAPUR
kallur2410,LATUR-UDGIR-KALLUR
kardkhel2410,LATUR-UDGIR-KARDKHEL
karkheli2410,LATUR-UDGIR-KARKHELI
karwandi2410,LATUR-UDGIR-KARWANDI
kasral2410,LATUR-UDGIR-KASRAL
kaulkhed2410,LATUR-UDGIR-KAULKHED
kherda.kh2410,LATUR-UDGIR-KHERDA (KH)
kiniyalladevi2410,LATUR-UDGIR-KINIYALLADEVI
kodali2410,LATUR-UDGIR-KODALI
kshetrafal2410,LATUR-UDGIR-KSHETRAFAL
kumda2410,LATUR-UDGIR-KUMDA
kumdal2410,LATUR-UDGIR-KUMDAL
kumtha.kh2410,LATUR-UDGIR-KUMTHA (KH)
limbgaon2410,LATUR-UDGIR-LIMBGAON
lohara2410,LATUR-UDGIR-LOHARA
loni2410,LATUR-UDGIR-LONI
madlapur2410,LATUR-UDGIR-MADLAPUR
malewadi2410,LATUR-UDGIR-MALEWADI
malkapur2410,LATUR-UDGIR-MALKAPUR
mallapur2410,LATUR-UDGIR-MALLAPUR
manjari2410,LATUR-UDGIR-MANJARI
mogha2410,LATUR-UDGIR-MOGHA
mortalwadi.gh2410,LATUR-UDGIR-MORTALWADI (GH)
nagalgaon2410,LATUR-UDGIR-NAGALGAON
nalgir2410,LATUR-UDGIR-NALGIR
nawandi2410,LATUR-UDGIR-NAWANDI
netragaon2410,LATUR-UDGIR-NETRAGAON
nideban2410,LATUR-UDGIR-NIDEBAN
pimpari2410,LATUR-UDGIR-PIMPARI
rawangaon2410,LATUR-UDGIR-RAWANGAON
rudrawadi2410,LATUR-UDGIR-RUDRAWADI
sambhu.umarga2410,LATUR-UDGIR-SAMBHU UMARGA
satala.bk2410,LATUR-UDGIR-SATALA (BK)
shekapur2410,LATUR-UDGIR-SHEKAPUR
shelhal2410,LATUR-UDGIR-SHELHAL
shirol2410,LATUR-UDGIR-SHIROL
somnathpur2410,LATUR-UDGIR-SOMNATHPUR
sukani2410,LATUR-UDGIR-SUKANI
sumthana2410,LATUR-UDGIR-SUMTHANA
tadlapur2410,LATUR-UDGIR-TADLAPUR
takali2410,LATUR-UDGIR-TAKALI
tiwatghyal2410,LATUR-UDGIR-TIWATGHYAL
togari2410,LATUR-UDGIR-TOGARI
tondar2410,LATUR-UDGIR-TONDAR
tondchir2410,LATUR-UDGIR-TONDCHIR
umarga.manna2410,LATUR-UDGIR-UMARGA MANNA
wadhona.bk2410,LATUR-UDGIR-WADHONA (BK)
wadhona.kh2410,LATUR-UDGIR-WADHONA (KH)
wagadari2410,LATUR-UDGIR-WAGADARI
waigaon2410,LATUR-UDGIR-WAIGAON
